,I,O1,O2,N,H
0,47.0,1936.9894982497085,1936.9894982497085,2.2737367544323206e-13,0.0
1,82.0,1316.3716814159293,1083.4236186348862,-746.0307059858583,232.94806278104306
2,118.0,1035.598705501618,859.8726114649681,-858.9741059945562,175.7260940366499
3,153.0,882.9787234042552,723.2704402515724,-888.041103578988,159.70828315268284
4,189.0,779.768177028451,645.1612903225806,-855.5426463467599,134.60688670587035
5,224.0,712.041884816754,590.0621118012422,-803.1066512391345,121.9797730155118
6,260.0,645.1612903225806,546.3917525773196,-736.169403301837,98.769537745261
7,296.0,601.0362694300517,513.874614594039,-658.0789341238974,87.16165483601264
8,331.0,568.1818181818181,492.3076923076923,-572.11068278128,75.87412587412581
9,367.0,524.6913580246913,470.8290685772774,-482.98169935047514,53.86228944741396
10,402.0,492.3076923076923,449.438202247191,-396.83739205159753,42.869490060501334
11,438.0,470.8290685772774,428.13455657492347,-307.53343056264515,42.69451200235392
12,473.0,449.438202247191,417.5152749490835,-210.6175385595211,31.92292729810748
13,509.0,428.13455657492347,406.9175991861648,-110.6076071612199,21.216957388758658
14,545.0,406.9175991861648,406.9175991861648,2.2737367544323206e-13,0.0
