I,O1,O2
47.0,1936.9894982497083,1936.9894982497083
82.0,1316.3716814159293,1083.4236186348862
118.0,1035.598705501618,859.8726114649681
153.0,882.9787234042553,723.2704402515724
189.0,779.768177028451,645.1612903225806
224.0,712.041884816754,590.0621118012423
260.0,645.1612903225806,546.3917525773196
296.0,601.0362694300518,513.874614594039
331.0,568.1818181818181,492.3076923076923
367.0,524.6913580246913,470.8290685772774
402.0,492.3076923076923,449.438202247191
438.0,470.8290685772774,428.1345565749235
473.0,449.438202247191,417.5152749490835
509.0,428.1345565749235,406.9175991861648
545.0,406.9175991861648,406.9175991861648
