I,O
0.0,621852.9411764706
69.0,4751.796467509758
136.0,1032.364823852515
197.0,793.5961535927538
258.0,667.484889169988
318.0,586.8537962866991
371.0,531.2371997666403
429.0,485.8751425010929
482.0,454.7870057367598
532.0,429.20081913817114
581.0,406.9175991861648
519.0,431.32684266367085
475.0,456.9282862978813
417.0,484.8023184321736
364.0,527.980981729488
309.0,575.8862996382394
254.0,643.040359743741
194.0,747.0634583164716
134.0,921.5384351895285
68.0,1301.6939472619035
0.0,3273.7817014659972
